schema_name,object_name,object_type,estimated_rows,size_mb,last_analyze
canon,drivers_index,table,125180,148.99,
canon,identity_links,table,2069,0.95,
canon,identity_registry,table,1811,0.34,
canon,identity_unmatched,table,589,0.81,
observational,lead_events,table,1276,1.18,
observational,lead_ledger,table,518,0.43,
observational,scouting_match_candidates,table,438,0.28,
observational,v_conversion_metrics,view,0,0.00,
ops,alerts,table,0,0.03,
ops,driver_name_aliases,table,0,0.03,
ops,ingestion_runs,table,9,0.03,
ops,mv_refresh_log,table,0,0.05,
ops,partner_payment_rules,table,0,0.11,
ops,scout_liquidation_ledger,table,0,0.11,
ops,scout_payment_rules,table,4,0.11,
ops,source_registry,table,170,0.25,
ops,yango_payment_status_ledger,table,315,0.62,
ops,mv_claims_payment_status_cabinet,matview,417,0.59,
ops,mv_driver_name_index,matview,126127,25.08,
ops,mv_drivers_park_08e20910d81d42658d4334d3f6d10ac0,matview,59453,17.67,
ops,mv_drivers_park_08e20910d81d42658d4334d3f6d10ac0_active90d,matview,9214,2.83,
ops,mv_yango_cabinet_claims_for_collection,matview,417,0.51,
ops,mv_yango_payments_ledger_latest,matview,315,0.36,
ops,mv_yango_payments_ledger_latest_enriched,matview,315,0.45,
ops,mv_yango_payments_raw_current,matview,402,0.26,
ops,mv_yango_receivable_payable_detail,matview,519,0.23,
ops,v_attribution_canonical,view,0,0.00,
ops,v_cabinet_payment_evidence_pack,view,0,0.00,
ops,v_claims_cabinet_driver_rollup,view,0,0.00,
ops,v_claims_payment_status_cabinet,view,0,0.00,
ops,v_data_freshness_status,view,0,0.00,
ops,v_data_health_status,view,0,0.00,
ops,v_data_ingestion_daily,view,0,0.00,
ops,v_data_sources_catalog,view,0,0.00,
ops,v_dim_scouts,view,0,0.00,
ops,v_driver_name_index,view,0,0.00,
ops,v_driver_name_index_with_aliases,view,0,0.00,
ops,v_driver_name_index_with_aliases_agg,view,0,0.00,
ops,v_driver_name_to_driver_id_canonical,view,0,0.00,
ops,v_driver_name_to_driver_id_unique,view,0,0.00,
ops,v_driver_name_to_driver_id_unique_v2,view,0,0.00,
ops,v_health_checks,view,0,0.00,
ops,v_health_global,view,0,0.00,
ops,v_identity_system_health,view,0,0.00,
ops,v_partner_payments_report,view,0,0.00,
ops,v_partner_payments_report_ui,view,0,0.00,
ops,v_payment_calculation,view,0,0.00,
